,title,price,size,avg_rating,taste,score,description,brand,country,state,spirit_type,spirit_style,reviews
31,After Dark Premium Grain Whisky,14.99,750ml,5.0, ,-1, India- One-hundred percent grain based spirit produced in India. On the nose it is clean with medium to spicy chili notes accented by honey and ripe stonefruit. Palate features fully intense flavors balanced with the aromas and a musky backdrop. Enjoy straight at room temperature. ,After Dark,India,NA,Scotch,Single Malt,
32,Ainsley Brae Burgundy Cask Finish,23.99,750ml,4.3, Medium . Cedar . Cherry . Complex ,-1," Highlands, Scotland - A great highland expression aged in ex bourbon barrels then finsihed in burgundy casks for 6-8 months giving this whisky a rich body with berry and wood notes. ",Ainsley Brae,Scotland,Highland,Scotch,Single Malt,"{'review_1': {'review_desc': '    Another surprising scotch   ', 'review_cont': "" I decided to try this after trying the Sauternes cask alternative. It's just as surprising - but in a good way. I'd never tried a scotch aged in wine casks and it's got a really unconventional flavor. Maybe slightly tannic and rich? It's hard to describe but worth a try. "", 'review_scor': '5'}}"
33,Ainsley Brae Glendullan 12 Yr,57.99,750ml,4.0, Rich . Spice . Clove . Creamy . Complex ,-1," Speyside, Scotland - Built in 1897 the Glendullen distillery was one of the original seven stills of Dufftown. The offering has a rich complex profile that scotch lovers are bound to cherish. Gold Medal SF Spirits Competition ",Ainsley Brae,Scotland,Speyside,Scotch,Single Malt,
34,Ainsley Brae Highland Malt 1964,442.99,750ml,5.0, Intense . Spice . Cedar . Vanilla . Complex ,-1," Scotland, Highlands - A classic highland malt distilled in1964 and bottled in 2013. This 49-year-old whisky is a cap stone to any collection. The Intense cedar and spice notes yeild to sweeter vanilla notes and the finish lingers in a way the only a whisky of this age can. ",Ainsley Brae,Scotland,Highland,Scotch,Single Malt,"{'review_1': {'review_desc': '    Highlands best   ', 'review_cont': ' Goodness. \nWhere can you find single malt aged 49 years at this price. The crown jewel of my Scotch collection.  Trust me, after my original tasting with close friends i returned to buy the last  bottle in my local store the next day. I’ve got plenty of other great aged Scotch Whiskey to compare it to.  If you can get a bottle you won’t be disappointed. BTW- only 1000 bottles in this limited edition so maybe difficult to find. ', 'review_scor': '5'}}"
35,Ainsley Brae Royal Brackla 12 Yr,57.99,750ml,-1, Rich . Caramel . Spice . Complex ,-1," Highlands, Scotland - Built in 1812, the Brackla Whisky was selected by King William IV of the United Kingdom to be his whisky for the Royal Court, ever since this whiskey was used as a benchmark for quality. Drink with a splash of water. Silver Medal SF Spirits Competition ",Ainsley Brae,Scotland,Highland,Scotch,Single Malt,No Reviews
36,Ainsley Brae Sauternes Cask Finish,22.99,750ml,4.0, Medium . Spice . Cherry . Vanilla . Balanced ,-1," Highlands, Scotland - A great Highland expression aged in ex-bourbon barrels then finsihed in Sauternes casks for 6-8 months, giving this Whisky a rich body with spice and cherry notes. Gold Medal SF Spirits Competition ",Ainsley Brae,Scotland,Highland,Scotch,Single Malt,"{'review_1': {'review_desc': '    Interesting....   ', 'review_cont': "" I was intrigued with its description of being aged in sauterne casks so I bought it. I think it's the sauterne that lends a tad of sweetness to it that I enjoy. It does not give it a strong wine taste if that's a concern. The notes of sauterne are very subtle. It's very smooth on the palate with a nice finish that is not heavy in Scotch tones. It's good for a change when you want something a little lighter. I enjoy it neat, over the rocks, and also using it in a Rob Roy.with Carpano Antico Vermouth (my favorite vermouth for mixing). I want to try the Sherry cask one next. I think the sale price on Ainsley scotches is a good value. Cheers. "", 'review_scor': '5'}}"
37,Ainsley Brae Sherry Cask Finish,23.99,750ml,4.8, Rich . Sherry . Spice . Complex ,-1," Highlands, Scotland - A great highland expression aged in ex bourbon barrels then finsihed in sherry casks for 6-8 months giving this whisky a rich body with spice and vanilla notes that give way to fruit and wood notes at the back. Silver Medal SF Spirits Competition ",Ainsley Brae,Scotland,Highland,Scotch,Single Malt,"{'review_1': {'review_desc': '    My go to daily   ', 'review_cont': ' Tried this as it was advertised as a staff favorite in my local store. I have since fallen in love. Good if you’re on a budget ', 'review_scor': '5'}}"
38,Ainsley Brae Single Malt Oak Cask,21.99,750ml,3.3, Medium . Spice . Vanilla . Mild ,-1," Highlands, Scotland - An exemplary Highland expression aged in ex-bourbon barrels for a rich profile with notes of spice, oak and vanilla. This straightforward Single Malt is great neat or with a splash of water. Silver Medal SF Spirits Competition ",Ainsley Brae,Scotland,Highland,Scotch,Single Malt,"{'review_1': {'review_desc': '    Smooth at least   ', 'review_cont': ' Smooth, oakey and boring. Lot of Oak, very drying mouth feel finish.little vanilla taste. Kind of a harsh smell. ', 'review_scor': '3'}}"
39,Akashi Single Malt Japanese Whisky,99.99,750ml,-1, ,-1," Japan - Located in the town of Akashi, near the farmed city of Kobe in Japan, White Oak distillery has been in operation since 1919. The single malt whisky has no age statement, but has plenty of rich malty flavor and a supple fruited character that should please fans of the genre. ",Akashi,Japan,NA,Scotch,Single Malt,No Reviews
40,Akashi White Oak Whisky,35.99,750ml,-1, ,-1," Japan - The aroma is delicate with notes of marshmallow, barrel spices, raw corn, and vanilla. As you taste, the same notes are found and the whisky is soft and full on your palate. Enjoy! ",Akashi,Japan,NA,Scotch,Single Malt,No Reviews
41,Alexander Murray 1962 Highland,1199.99,750ml,-1, Delicate . Honey . Spice . Sherry . Complex ,-1," Highland, Scotland- This exquisite expression was aged for 52 years in an oak cask, then was finish for 12 months in an ex-sherry cask. The length of aging and finishing created an elegant and complex whisky with rich spice and honey. ",Alexander Murray,Scotland,Highland,Scotch,Single Malt,No Reviews
42,Alexander Murray 1972 Speyside,799.99,750ml,-1, Intense . Smoke . Floral . Balanced ,-1," Speyside, Scotland - Dark amber in color with aromas of dried fruits, a subtle smokiness and complex palate, with a dry and slightly floral finish. It can be enjoyed neat, with water, ice or a mixer. ",Alexander Murray,Scotland,Speyside,Scotch,Single Malt,No Reviews
43,Alexander Murray 1991 Glen Garioch,129.99,750ml,4.0, ,-1," Highlands, Scotland - Scotland's most easterly distillery and is one of Scotland's oldest. This rare bottling from 1991 has an array of sweet vanilla flavors, butterscotch and honeycomb. Orange peel blends with mocha and oak spice, finishing with a warming heathery smokiness. ",Alexander Murray,Scotland,Highland,Scotch,Single Malt,
44,Alexander Murray 1992 Bruichladdich,159.99,750ml,-1, ,-1," Islay, Scotland - This fine Alexander Murray bottling of Bruichladdich 21 year old single malt is very special. The nose is full bodied with an initial oily, sweet nose. To taste, sweet Scottish tablet and hints of nuts leading to a gripping complex but smooth finish. Enjoy neat. ",Alexander Murray,Scotland,NA,Scotch,Single Malt,No Reviews
45,Alexander Murray 1996 Glentauchers,104.99,750ml,-1, ,-1," Speyside, Scotland - This rare bottling of 17 year old Glentauchers has been matured in ex-bourbon casks. This whisky has a rich golden color, with hints of orchard fruits on the nose. On the palate you will find notes of sweet caramel and ripe grapes. The finish is long and smooth. ",Alexander Murray,Scotland,NA,Scotch,Single Malt,No Reviews
46,Alexander Murray 1997 Dailuaine,99.99,750ml,-1, ,-1," Speyside, Scotland - Alexander Murray brings you this rare bottling of Dailuaine single malt distilled in 1997. It has been matured in oak casks for 16 years. A sweet vanilla nose, followed by a sweet, creamy butterscotch taste and a long soft-spiced fruit finish. Sip neat. ",Alexander Murray,Scotland,NA,Scotch,Single Malt,No Reviews
47,Alexander Murray 1997 Macallan,499.99,750ml,-1, Rich . Dried Fruit . Spice . Balanced ,-1," Highlands, Scotland- Very rare 20 Year Old Macallan. Satisfyingly complex, characterized by its rich color, aroma and flavor, and with hints of dried fruits, light smoke, and chocolate orange. ",Alexander Murray,Scotland,Highland,Scotch,Single Malt,No Reviews
48,Alexander Murray 2000 Highland Park,139.99,750ml,-1, ,-1," Scotland - This rare bottling of cask strength has been matured in ex-bourbon casks. A glowing amber color with a sweet peaty aroma on the nose. To taste, it is bursting with spicy fruits and has a long peaty finish. Add a drop or two of water and sip neat. ",Alexander Murray,Scotland,NA,Scotch,Single Malt,No Reviews
49,Alexander Murray 2005 Laphroaig,129.99,750ml,-1, Intense . Smoke . Peat . Long ,-1," Islay, Scotland- This offering has intense smoke on the nose with a balanced sweetness on the palate followed by strong peat notes and an extremely long finish. Best enjoyed neat. ",Alexander Murray,Scotland,Islay & Islands,Scotch,Single Malt,No Reviews
50,Alexander Murray Allt-a-Bhainne 23 Yr,149.99,750ml,5.0, Rich . Sweet . Spice . Toffee . Complex ,-1," Speyside, Scotland - From a small distillery that sits on the northern slopes of the mountain of Ben Rinnes. Sweet and spicy with hints of toffee, cinnamon, pepper, and fudge. Pronounced ""Alta-vanya"" ",Alexander Murray,Scotland,Speyside,Scotch,Single Malt,
51,Alexander Murray Ardmore 13 Yr,109.99,750ml,-1, ,-1," Speyside, Scotland - Golden hues. To the nose, faint peat and marzipan. on the palate, creamy vanilla, buttered biscuits. Long finish with vanilla, oak and faint smoke. It can be enjoyed neat, with water, on the rocks, or in a mixed drink. ",Alexander Murray,Scotland,Highland,Scotch,Single Malt,No Reviews
52,Alexander Murray Ardmore Single Malt Aged 9 Years,45.99,750ml,-1, ,-1," Speyside, Scotland- Aromas of a smoky malt: dry, smoky campfire explodes on the palate; yet through maturation it has developed fine depth of character, subtle vanilla bean arrives with a peasant and coating texture. ",Alexander Murray,Scotland,Speyside,Scotch,Single Malt,No Reviews
53,Alexander Murray Auchentoshan 15 Yr,78.99,750ml,-1, ,-1," Lowlands, Scotland - Triple Distilled and unpeated malt gives the Whisky a more delicate and sweet flavor than most Scotch Whiskies. The ex-bourbon allows for gorgeous sweet vanilla notes on the nose and on the palate it will initially be woody, followed by creamy vanilla. ",Alexander Murray,Scotland,Lowland,Scotch,Single Malt,No Reviews
54,Alexander Murray Ben Nevis 17 Yr,119.99,750ml,-1, ,-1," Highland, Scotland- Aroma highlights hints of nuts and oranges. Toffee with a peat burst at the end on the palate. Sublime, oily, oak notes on the finish unique to this family of single malts. Matured in ex-bourbon casks at the base of Scotland's highest mountain. ",Alexander Murray,Scotland,Highland,Scotch,Single Malt,No Reviews
55,Alexander Murray Benrinnes 19 Yr,159.99,750ml,-1, ,-1," Speyside, Scotland- Benrinnes has a particularly full-bodied and perfumed character that contributes bags of flavor to blends. As a stand alone single malt Benrinnes is the most interesting idiosyncratic of whiskies- full of flavor with a luscious body. Finish is of stewed fruits. ",Alexander Murray,Scotland,Speyside,Scotch,Single Malt,No Reviews
56,Alexander Murray Bladnoch 25 Yr,179.99,750ml,-1, ,-1," Scotland- Light in color. Here you will find a sweet, floral nose with hints of malted barley. On the palate it is smooth and sweet with hints of citrus fruits and bananas. The finish is long and just keeps on going. ",Alexander Murray,Scotland,NA,Scotch,Single Malt,No Reviews
57,Alexander Murray Bon Accord,29.99,750ml,5.0, Medium . Sweet . Smoke . Long ,-1," Scotland - This entry level single malt is a marriage of aged casks from one distillery, brought together to create an elegant and complex single malt. Golden in color, with a medium sweet body, gently smokey, with a strong finish. ",Alexander Murray,Scotland,NA,Scotch,Single Malt,"{'review_1': {'review_desc': '    My go to   ', 'review_cont': ' It’s not too peaty, very pleasant and mellow. Great on ice or straight. A buttery finish. Nice way to unwind and the best I’ve had for the price. ', 'review_scor': '5'}}"
58,Alexander Murray Braes of Glenlivet 21 Yr,139.99,750ml,-1, Medium . Sweet . Fruit . Oak . Mild ,-1," Speyside, Scotland - Truly a rare find for any Speyside fan, this is a medium-bodied whisky from the sister distillery of The Glenlivet. Sweet and fruity, with custard, toffee, and oak notes. ",Alexander Murray,Scotland,Speyside,Scotch,Single Malt,No Reviews
59,Alexander Murray Bruichladdich Aged 12 Years Cask Strength,119.99,750ml,-1, ,-1," Islay & Islands, Scotland- Carries a delicate, unpeated, malty, fruity dram. Sweet, creamy oatmeal leads the charge with fruit preserve quick to follow. Candied fruits linger, leading to delicate, drying oak. ",Alexander Murray,Scotland,Islay & Islands,Scotch,Single Malt,No Reviews
60,Alexander Murray Bunnahabhain 26Yr,239.99,750ml,5.0, Medium . Oak . Fruit . Complex ,-1," Islay, Scotland - This will not be quite as smoky or salty as whiskies from neighboring distilleries. Dry and fruity the flavor sometimes resembles that of an oaked chardonnay. ",Alexander Murray,Scotland,Islay & Islands,Scotch,Single Malt,
61,Alexander Murray Bunnahabhain 28Yr,299.99,750ml,5.0, Rich . Spice . Smoke . Fruit . Complex ,-1," Islay, Scotland - Rich, spicy, but not too smoky. Malty and nutty, you will get a taste of fruit cake, but also some fruitiness with citrus peel and peach. Enjoy neat or with a few drops of water. ",Alexander Murray,Scotland,Islay & Islands,Scotch,Single Malt,
62,Alexander Murray Caol Ila 8 Yr,74.99,750ml,-1, ,-1," Islay, Scotland - Golden in color. To the nose, smoky with a sea tide. on the palate, a real salty breeze taste. It finishes with a hint of smoke. It is perfect on the rocks by the fire. ",Alexander Murray,Scotland,Islay & Islands,Scotch,Single Malt,No Reviews
63,Alexander Murray Dalmore 15 Yr,129.99,750ml,-1, ,-1," Highland, Scotland- Dalmore 15 Year is dark in color with dried fruit on the nose. On the palate it has classic christmas cake notes of sherry, raisins, cherries and cinnamon. The finish is sweet fruit and nutmeg. ",Alexander Murray,Scotland,Highland,Scotch,Single Malt,No Reviews
64,Alexander Murray Glen Garioch 20Yr,129.99,750ml,-1, ,-1," Highland, Scotland- This 1994 expression showcases rich aromas of malt, smoked apricot, and salt. The medium-bodied palate begins sweet then becomes drying and complex. Finishes dry and intense. ",Alexander Murray,Scotland,Highland,Scotch,Single Malt,No Reviews
65,Alexander Murray Glen Grant 22 Year Barrel Select,109.99,750ml,-1, Intense . Cereal Grain . Nut . Toffee . Balanced ,-1," Speyside, Scotland- This un-chill filtered exclusive barrel select expression is bottled at cask strength. The intense nutty and cereal character of Glen Grant softened from development in the cask, allowing rounded, bourbon-like characteristics to shine through. Malty, toffee notes. ",Alexander Murray,Scotland,Speyside,Scotch,Single Malt,No Reviews
66,Alexander Murray Glen Moray 12 Yr,74.99,750ml,-1, ,-1," Speyside, Scotland- Glen Moray is known for its delicate spirit, and this expression is specially selected for its spicy character. Bottled at cask strength the aromas of coconut, vanilla, and spice are abundant. Light bodied with apple crumber and almond. Vanilla and spice finish. ",Alexander Murray,Scotland,Speyside,Scotch,Single Malt,No Reviews
67,Alexander Murray Glenkeith,149.99,750ml,-1, ,-1," Highland, Scotland- This 1995 vintage has a delicate and complex character- slightly oily, with a pleasant grain character. Nose of vanilla and rich fruit. Palate has subtle oak with a wisp of smoke. Finish is mild. ",Alexander Murray,Scotland,Highland,Scotch,Single Malt,No Reviews
68,Alexander Murray Glenlivet 45 Yr,899.99,750ml,-1, Rich . Sweet . Creamy . Complex ,-1," Scotland- The interplay between flavors in this Alexander Murray bottling of Glenlivet is wonderfully intriguing and will delight the most discerning of palates. The whisky is approachable and delicate, sweet and savory are delivered in a rich and creamy body. ",Alexander Murray,Scotland,Speyside,Scotch,Single Malt,No Reviews
69,Alexander Murray Glenlossie 19 Yr,119.99,750ml,-1, Light . Floral . Pear . Honey . Mild ,-1," Speyside, Scotland - This is remarkably fresh for an aged whisky, with a healthy dose of floral notes. Flavors of red apple, pear, and honeycomb. Light-bodied with a long, smooth finish. ",Alexander Murray,Scotland,Speyside,Scotch,Single Malt,No Reviews
70,Alexander Murray Glenrothes 22 Yr,159.99,750ml,-1, ,-1," Speyside, Scotland- This expression is a very bold whisky: luscious, sweet, fruity, and spicy. Aromas of honey, melon, and rich toffee are followed by a medium-bodied palate with notes of honey, palm sugar, and spice. The finish showcases licorice, intense spice, and faint smoke. ",Alexander Murray,Scotland,Speyside,Scotch,Single Malt,No Reviews
